Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,LandContour,LotConfig,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,SalePrice
14,20,RL,91.0,10652,IR1,CollgCr,Lvl,Inside,Norm,1Fam,1Story,7,5,2006,2007,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,279500
15,20,RL,,10920,IR1,NAmes,Lvl,Corner,Norm,1Fam,1Story,6,5,1960,1960,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,157000
16,45,RM,51.0,6120,Reg,BrkSide,Lvl,Corner,Norm,1Fam,1.5Unf,7,8,1929,2001,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,132000
17,20,RL,,11241,IR1,NAmes,Lvl,CulDSac,Norm,1Fam,1Story,6,7,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,149000
18,90,RL,72.0,10791,Reg,Sawyer,Lvl,Inside,Norm,Duplex,1Story,4,5,1967,1967,MetalSd,MetalSd,,0.0,TA,TA,Slab,90000
19,20,RL,66.0,13695,Reg,SawyerW,Lvl,Inside,RRAe,1Fam,1Story,5,5,2004,2004,VinylSd,VinylSd,,0.0,TA,TA,PConc,159000
20,20,RL,70.0,7560,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,6,1958,1965,BrkFace,Plywood,,0.0,TA,TA,CBlock,139000
21,60,RL,101.0,14215,IR1,NridgHt,Lvl,Corner,Norm,1Fam,2Story,8,5,2005,2006,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,325300
22,45,RM,57.0,7449,Reg,IDOTRR,Bnk,Inside,Norm,1Fam,1.5Unf,7,7,1930,1950,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,139400
23,20,RL,75.0,9742,Reg,CollgCr,Lvl,Inside,Norm,1Fam,1Story,8,5,2002,2002,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,230000
24,120,RM,44.0,4224,Reg,MeadowV,Lvl,Inside,Norm,TwnhsE,1Story,5,7,1976,1976,CemntBd,CmentBd,,0.0,TA,TA,PConc,129900
25,20,RL,,8246,IR1,Sawyer,Lvl,Inside,Norm,1Fam,1Story,5,8,1968,2001,Plywood,Plywood,,0.0,TA,Gd,CBlock,154000
26,20,RL,110.0,14230,Reg,NridgHt,Lvl,Corner,Norm,1Fam,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,256300
27,20,RL,60.0,7200,Reg,NAmes,Lvl,Corner,Norm,1Fam,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,134800
28,20,RL,98.0,11478,Reg,NridgHt,Lvl,Inside,Norm,1Fam,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,306000
29,20,RL,47.0,16321,IR1,NAmes,Lvl,CulDSac,Norm,1Fam,1Story,5,6,1957,1997,MetalSd,MetalSd,,0.0,TA,TA,CBlock,207500
30,30,RM,60.0,6324,IR1,BrkSide,Lvl,Inside,Feedr,1Fam,1Story,4,6,1927,1950,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,68500
31,70,C (all),50.0,8500,Reg,IDOTRR,Lvl,Inside,Feedr,1Fam,2Story,4,4,1920,1950,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,40000
32,20,RL,,8544,IR1,Sawyer,Lvl,CulDSac,Norm,1Fam,1Story,5,6,1966,2006,HdBoard,HdBoard,,0.0,TA,TA,CBlock,149350
33,20,RL,85.0,11049,Reg,CollgCr,Lvl,Corner,Norm,1Fam,1Story,8,5,2007,2007,VinylSd,VinylSd,,0.0,Gd,TA,PConc,179900
34,20,RL,70.0,10552,IR1,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,5,1959,1959,BrkFace,BrkFace,,0.0,TA,TA,CBlock,165500
35,120,RL,60.0,7313,Reg,NridgHt,Lvl,Inside,Norm,TwnhsE,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,277500
36,60,RL,108.0,13418,Reg,NridgHt,Lvl,Inside,Norm,1Fam,2Story,8,5,2004,2005,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,309000
37,20,RL,112.0,10859,Reg,CollgCr,Lvl,Corner,Norm,1Fam,1Story,5,5,1994,1995,VinylSd,VinylSd,,0.0,TA,TA,PConc,145000
38,20,RL,74.0,8532,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,6,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,153000
39,20,RL,68.0,7922,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,7,1953,2007,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,109000
40,90,RL,65.0,6040,Reg,Edwards,Lvl,Inside,Norm,Duplex,1Story,4,5,1955,1955,AsbShng,Plywood,,0.0,TA,TA,PConc,82000
41,20,RL,84.0,8658,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,6,5,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,160000
42,20,RL,115.0,16905,Reg,Timber,Lvl,Inside,Norm,1Fam,1Story,5,6,1959,1959,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,170000
43,85,RL,,9180,IR1,SawyerW,Lvl,CulDSac,Norm,1Fam,SFoyer,5,7,1983,1983,HdBoard,HdBoard,,0.0,TA,TA,CBlock,144000
44,20,RL,,9200,IR1,CollgCr,Lvl,CulDSac,Norm,1Fam,1Story,5,6,1975,1980,VinylSd,VinylSd,,0.0,TA,TA,CBlock,130250
45,20,RL,70.0,7945,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,6,1959,1959,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,141000
46,120,RL,61.0,7658,Reg,NridgHt,Lvl,Inside,Norm,TwnhsE,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,319900
47,50,RL,48.0,12822,IR1,Mitchel,Lvl,CulDSac,Norm,1Fam,1.5Fin,7,5,2003,2003,VinylSd,VinylSd,,0.0,Gd,TA,PConc,239686
48,20,FV,84.0,11096,Reg,Somerst,Lvl,Inside,Norm,1Fam,1Story,8,5,2006,2006,VinylSd,VinylSd,,0.0,Gd,TA,PConc,249700
49,190,RM,33.0,4456,Reg,OldTown,Lvl,Inside,Norm,2fmCon,2Story,4,5,1920,2008,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,113000
50,20,RL,66.0,7742,Reg,Sawyer,Lvl,Inside,Norm,1Fam,1Story,5,7,1966,1966,HdBoard,HdBoard,,0.0,TA,TA,CBlock,127000
51,60,RL,,13869,IR2,Gilbert,Lvl,Corner,Norm,1Fam,2Story,6,6,1997,1997,VinylSd,VinylSd,,0.0,TA,TA,PConc,177000
52,50,RM,52.0,6240,Reg,BrkSide,Lvl,Inside,Norm,1Fam,1.5Fin,6,6,1934,1950,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,114500
53,90,RM,110.0,8472,IR2,IDOTRR,Bnk,Corner,RRNn,Duplex,1Story,5,5,1963,1963,Wd Sdng,Wd Sdng,,0.0,Fa,TA,CBlock,110000
54,20,RL,68.0,50271,IR1,Veenker,Low,Inside,Norm,1Fam,1Story,9,5,1981,1987,WdShing,Wd Shng,,0.0,Gd,TA,CBlock,385000
55,80,RL,60.0,7134,Reg,NAmes,Bnk,Inside,Norm,1Fam,SLvl,5,5,1955,1955,MetalSd,MetalSd,,0.0,TA,TA,CBlock,130000
56,20,RL,100.0,10175,IR1,NAmes,Lvl,Inside,Norm,1Fam,1Story,6,5,1964,1964,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,180500
57,160,FV,24.0,2645,Reg,Somerst,Lvl,Inside,Norm,Twnhs,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,172500
58,60,RL,89.0,11645,IR1,CollgCr,Lvl,Corner,Norm,1Fam,2Story,7,5,2004,2004,VinylSd,VinylSd,,0.0,Gd,TA,PConc,196500
59,60,RL,66.0,13682,IR2,StoneBr,HLS,CulDSac,Norm,1Fam,2Story,10,5,2006,2006,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,438780
60,20,RL,60.0,7200,Reg,CollgCr,Bnk,Inside,Norm,1Fam,1Story,5,7,1972,1972,HdBoard,HdBoard,,0.0,TA,TA,CBlock,124900
61,20,RL,63.0,13072,Reg,SawyerW,Lvl,Inside,RRAe,1Fam,1Story,6,5,2004,2004,VinylSd,VinylSd,,0.0,TA,TA,PConc,158000
62,75,RM,60.0,7200,Reg,IDOTRR,Lvl,Inside,Norm,1Fam,2.5Unf,5,7,1920,1996,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,101000
63,120,RL,44.0,6442,IR1,NridgHt,Lvl,Inside,Norm,TwnhsE,1Story,8,5,2006,2006,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,202500
64,70,RM,50.0,10300,IR1,OldTown,Bnk,Inside,RRAn,1Fam,2Story,7,6,1921,1950,Stucco,Stucco,,0.0,TA,TA,BrkTil,140000
65,60,RL,,9375,Reg,CollgCr,Lvl,Inside,Norm,1Fam,2Story,7,5,1997,1998,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,219500
66,60,RL,76.0,9591,Reg,NridgHt,Lvl,Inside,Norm,1Fam,2Story,8,5,2004,2005,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,317000
67,20,RL,,19900,Reg,NAmes,Lvl,Inside,PosA,1Fam,1Story,7,5,1970,1989,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,180000
68,20,RL,72.0,10665,IR1,CollgCr,Lvl,Inside,Norm,1Fam,1Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,226000
69,30,RM,47.0,4608,Reg,OldTown,Lvl,Corner,Artery,1Fam,1Story,4,6,1945,1950,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,80000
70,50,RL,81.0,15593,Reg,ClearCr,Lvl,Corner,Norm,1Fam,1.5Fin,7,4,1953,1953,BrkFace,AsbShng,,0.0,Gd,TA,CBlock,225000
71,20,RL,95.0,13651,IR1,NAmes,Lvl,Inside,Norm,1Fam,1Story,7,6,1973,1973,Plywood,Plywood,BrkFace,1115.0,TA,Gd,CBlock,244000
72,20,RL,69.0,7599,Reg,Mitchel,Lvl,Corner,Norm,1Fam,1Story,4,6,1982,2006,HdBoard,Plywood,,0.0,TA,TA,CBlock,129500
73,60,RL,74.0,10141,IR1,Gilbert,Lvl,Corner,Norm,1Fam,2Story,7,5,1998,1998,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,185000
74,20,RL,85.0,10200,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,7,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,TA,CBlock,144900
75,50,RM,60.0,5790,Reg,OldTown,Lvl,Corner,Norm,1Fam,2Story,3,6,1915,1950,VinylSd,VinylSd,,0.0,Gd,Gd,CBlock,107400
76,180,RM,21.0,1596,Reg,MeadowV,Lvl,Inside,Norm,Twnhs,SLvl,4,5,1973,1973,CemntBd,CmentBd,,0.0,TA,TA,CBlock,91000
77,20,RL,,8475,IR1,NAmes,Lvl,Inside,Norm,1Fam,1Story,4,7,1956,1956,VinylSd,VinylSd,,0.0,TA,TA,CBlock,135750
78,50,RM,50.0,8635,Reg,BrkSide,Lvl,Inside,Norm,1Fam,1.5Fin,5,5,1948,2001,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,127000
79,90,RL,72.0,10778,Reg,Sawyer,Lvl,Inside,Norm,Duplex,1Story,4,5,1968,1968,HdBoard,HdBoard,,0.0,TA,TA,CBlock,136500
80,50,RM,60.0,10440,Reg,OldTown,Lvl,Corner,Norm,1Fam,2Story,5,6,1910,1981,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,110000
81,60,RL,100.0,13000,Reg,NAmes,Lvl,Corner,Norm,1Fam,2Story,6,6,1968,1968,VinylSd,VinylSd,BrkFace,576.0,TA,Gd,CBlock,193500
82,120,RM,32.0,4500,Reg,Mitchel,Lvl,FR2,Norm,TwnhsE,1Story,6,5,1998,1998,VinylSd,VinylSd,BrkFace,443.0,TA,Gd,PConc,153500
83,20,RL,78.0,10206,Reg,Somerst,Lvl,Inside,Norm,1Fam,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,468.0,TA,TA,PConc,245000
84,20,RL,80.0,8892,IR1,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,5,1960,1960,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,CBlock,126500
85,80,RL,,8530,IR1,Gilbert,Lvl,Inside,Norm,1Fam,SLvl,7,5,1995,1996,HdBoard,HdBoard,BrkFace,22.0,TA,TA,PConc,168500
86,60,RL,121.0,16059,Reg,NoRidge,Lvl,Corner,Norm,1Fam,2Story,8,5,1991,1992,HdBoard,HdBoard,BrkFace,284.0,Gd,TA,CBlock,260000
87,60,RL,122.0,11911,IR2,Gilbert,Lvl,Inside,Norm,1Fam,2Story,6,5,2005,2005,VinylSd,VinylSd,,0.0,Gd,TA,PConc,174000
88,160,FV,40.0,3951,Reg,Somerst,Lvl,Corner,Norm,TwnhsE,2Story,6,5,2009,2009,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,164500
89,50,C (all),105.0,8470,IR1,IDOTRR,Lvl,Corner,Feedr,1Fam,1.5Fin,3,2,1915,1982,Plywood,Plywood,,0.0,Fa,Fa,CBlock,85000
90,20,RL,60.0,8070,Reg,CollgCr,Lvl,Inside,Norm,1Fam,1Story,4,5,1994,1995,VinylSd,VinylSd,,0.0,TA,TA,PConc,123600
91,20,RL,60.0,7200,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,4,5,1950,1950,BrkFace,Wd Sdng,,0.0,TA,TA,Slab,109900
92,20,RL,85.0,8500,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,3,1961,1961,HdBoard,HdBoard,BrkCmn,203.0,TA,TA,CBlock,98600
93,30,RL,80.0,13360,IR1,Crawfor,HLS,Inside,Norm,1Fam,1Story,5,7,1921,2006,Wd Sdng,Wd Sdng,,0.0,TA,Gd,BrkTil,163500
94,190,C (all),60.0,7200,Reg,OldTown,Lvl,Corner,Norm,2fmCon,2.5Unf,6,6,1910,1998,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,133900
95,60,RL,69.0,9337,IR1,CollgCr,Lvl,Inside,Norm,1Fam,2Story,6,5,1997,1997,VinylSd,VinylSd,,0.0,TA,Gd,PConc,204750
96,60,RL,,9765,IR2,Gilbert,Lvl,Corner,Norm,1Fam,2Story,6,8,1993,1993,VinylSd,VinylSd,BrkFace,68.0,Ex,Gd,PConc,185000
97,20,RL,78.0,10264,IR1,CollgCr,Lvl,Inside,Norm,1Fam,1Story,7,5,1999,1999,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,214000
98,20,RL,73.0,10921,Reg,Edwards,HLS,Inside,Norm,1Fam,1Story,4,5,1965,1965,HdBoard,HdBoard,BrkFace,48.0,TA,TA,CBlock,94750
99,30,RL,85.0,10625,Reg,Edwards,Lvl,Corner,Norm,1Fam,1Story,5,5,1920,1950,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,83000
100,20,RL,77.0,9320,IR1,NAmes,Lvl,Inside,Norm,1Fam,1Story,4,5,1959,1959,Plywood,Plywood,,0.0,TA,TA,CBlock,128950
101,20,RL,,10603,IR1,NWAmes,Lvl,Inside,Norm,1Fam,1Story,6,7,1977,2001,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,205000
102,60,RL,77.0,9206,Reg,SawyerW,Lvl,Inside,Norm,1Fam,2Story,6,5,1985,1985,HdBoard,HdBoard,BrkFace,336.0,Gd,TA,CBlock,178000
103,90,RL,64.0,7018,Reg,SawyerW,Bnk,Inside,Norm,Duplex,1Story,5,5,1979,1979,HdBoard,HdBoard,,0.0,TA,Fa,Slab,118964
104,20,RL,94.0,10402,IR1,CollgCr,Lvl,Corner,Norm,1Fam,1Story,7,5,2009,2009,VinylSd,VinylSd,,0.0,TA,TA,PConc,198900
105,50,RM,,7758,Reg,IDOTRR,Lvl,Corner,Norm,1Fam,1.5Fin,7,4,1931,1950,Stucco,Stucco,BrkFace,600.0,TA,Fa,PConc,169500
106,60,FV,75.0,9375,Reg,Somerst,Lvl,Inside,Norm,1Fam,2Story,8,5,2003,2004,VinylSd,VinylSd,BrkFace,768.0,Gd,TA,PConc,250000
107,30,RM,60.0,10800,Reg,OldTown,Lvl,Inside,Norm,1Fam,1Story,4,7,1885,1995,VinylSd,VinylSd,,0.0,TA,TA,BrkTil,100000
108,20,RM,50.0,6000,Reg,OldTown,Lvl,Inside,Norm,1Fam,1Story,5,5,1948,1950,VinylSd,VinylSd,,0.0,TA,TA,CBlock,115000
109,50,RM,85.0,8500,Reg,IDOTRR,Lvl,Corner,Artery,1Fam,1.5Fin,5,7,1919,2005,CemntBd,CmentBd,,0.0,TA,TA,CBlock,115000
110,20,RL,105.0,11751,IR1,NWAmes,Lvl,Inside,Norm,1Fam,1Story,6,6,1977,1977,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,190000
111,50,RL,75.0,9525,Reg,Edwards,Lvl,Inside,Norm,1Fam,1.5Fin,6,4,1954,1972,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,136900
112,80,RL,,7750,IR1,Gilbert,Lvl,Inside,Norm,1Fam,SLvl,7,5,2000,2000,VinylSd,VinylSd,,0.0,TA,TA,PConc,180000
113,60,RL,77.0,9965,Reg,CollgCr,Lvl,Inside,Norm,1Fam,2Story,7,5,2007,2007,VinylSd,VinylSd,Stone,220.0,Gd,TA,PConc,383970
114,20,RL,,21000,Reg,Crawfor,Bnk,Corner,Norm,1Fam,1Story,6,5,1953,1953,Wd Sdng,Wd Sdng,BrkFace,184.0,TA,Gd,CBlock,217000
115,70,RL,61.0,7259,IR1,Crawfor,Lvl,Inside,Norm,1Fam,2Story,6,8,1945,2002,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,259500
116,160,FV,34.0,3230,Reg,Somerst,Lvl,Corner,Norm,TwnhsE,2Story,6,5,1999,1999,MetalSd,MetalSd,BrkFace,1129.0,TA,TA,PConc,176000
117,20,RL,,11616,Reg,Sawyer,Lvl,Inside,Norm,1Fam,1Story,5,5,1962,1962,Wd Sdng,Wd Sdng,BrkFace,116.0,TA,TA,CBlock,139000
118,20,RL,74.0,8536,Reg,Edwards,Lvl,Corner,Norm,1Fam,1Story,5,5,2006,2007,VinylSd,VinylSd,,0.0,TA,TA,PConc,155000
119,60,RL,90.0,12376,Reg,SawyerW,Lvl,Corner,Norm,1Fam,2Story,7,5,1990,1990,Plywood,Plywood,,0.0,TA,TA,PConc,320000
120,60,RL,65.0,8461,Reg,CollgCr,Lvl,Inside,Norm,1Fam,2Story,6,5,2005,2006,VinylSd,VinylSd,,0.0,Gd,TA,PConc,163990
121,80,RL,,21453,IR1,ClearCr,Low,CulDSac,Norm,1Fam,SLvl,6,5,1969,1969,Plywood,Plywood,,0.0,TA,TA,CBlock,180000
122,50,RM,50.0,6060,Reg,IDOTRR,Lvl,Inside,Norm,1Fam,1.5Fin,4,5,1939,1950,AsbShng,AsbShng,,0.0,TA,TA,PConc,100000
123,20,RL,75.0,9464,Reg,NAmes,Lvl,Corner,Norm,1Fam,1Story,6,7,1958,1958,MetalSd,MetalSd,BrkFace,135.0,TA,Gd,CBlock,136000
124,120,RL,55.0,7892,Reg,SawyerW,Lvl,Inside,Norm,TwnhsE,1Story,6,5,1993,1993,Plywood,Plywood,,0.0,Gd,TA,PConc,153900
125,20,RL,48.0,17043,IR1,NWAmes,Lvl,CulDSac,Norm,1Fam,1Story,6,5,1979,1998,HdBoard,HdBoard,,0.0,TA,Gd,CBlock,181000
126,190,RM,60.0,6780,Reg,IDOTRR,Lvl,Inside,Norm,2fmCon,1.5Fin,6,8,1935,1982,Wd Sdng,Wd Sdng,,0.0,TA,Fa,CBlock,84500
127,120,RL,,4928,IR1,NPkVill,Lvl,Inside,Norm,TwnhsE,1Story,6,5,1976,1976,Plywood,Plywood,,0.0,TA,TA,CBlock,128000
128,45,RM,55.0,4388,IR1,OldTown,Bnk,Inside,Feedr,1Fam,1.5Unf,5,7,1930,1950,WdShing,Wd Sdng,,0.0,TA,Gd,BrkTil,87000
129,60,RL,69.0,7590,Reg,NAmes,Lvl,Inside,PosN,1Fam,2Story,6,5,1966,1966,VinylSd,VinylSd,BrkFace,266.0,TA,TA,CBlock,155000
130,20,RL,69.0,8973,Reg,NAmes,Lvl,Inside,Norm,1Fam,1Story,5,7,1958,1991,Plywood,Plywood,BrkFace,85.0,TA,TA,CBlock,150000
131,60,RL,88.0,14200,Reg,NAmes,Lvl,Corner,Norm,1Fam,2Story,7,6,1966,1966,MetalSd,MetalSd,BrkFace,309.0,TA,TA,CBlock,226000
132,60,RL,,12224,IR1,Gilbert,Lvl,Corner,Norm,1Fam,2Story,6,5,2000,2000,VinylSd,VinylSd,BrkFace,40.0,Gd,TA,PConc,244000
133,20,RL,75.0,7388,Reg,NAmes,Lvl,Corner,Norm,1Fam,1Story,5,6,1959,2002,MetalSd,MetalSd,,0.0,TA,TA,CBlock,150750
134,20,RL,,6853,IR1,Timber,Lvl,Inside,Norm,1Fam,1Story,8,5,2001,2002,VinylSd,VinylSd,BrkFace,136.0,Gd,TA,PConc,220000
135,20,RL,78.0,10335,IR1,Sawyer,Lvl,Inside,Norm,1Fam,1Story,5,6,1968,1993,Plywood,Plywood,,0.0,TA,TA,CBlock,180000
136,20,RL,80.0,10400,Reg,NWAmes,Lvl,Inside,Norm,1Fam,1Story,7,6,1970,1970,Plywood,Plywood,BrkFace,288.0,TA,TA,PConc,174000
137,20,RL,,10355,IR1,NAmes,Lvl,Corner,Norm,1Fam,1Story,5,5,1967,1967,MetalSd,MetalSd,BrkFace,196.0,TA,TA,CBlock,143000
138,90,RL,82.0,11070,Reg,Mitchel,Lvl,Inside,Norm,Duplex,1Story,7,5,1988,1989,VinylSd,VinylSd,BrkFace,70.0,TA,TA,CBlock,171000
139,60,RL,73.0,9066,IR1,CollgCr,Lvl,Inside,Norm,1Fam,2Story,8,5,1999,2000,VinylSd,VinylSd,BrkFace,320.0,Gd,TA,PConc,230000
140,60,RL,65.0,15426,IR1,CollgCr,Lvl,Inside,Norm,1Fam,2Story,6,5,1997,1997,VinylSd,VinylSd,,0.0,TA,TA,PConc,231500
141,20,RL,70.0,10500,Reg,NAmes,Lvl,FR2,Norm,1Fam,1Story,4,5,1971,1971,HdBoard,HdBoard,,0.0,TA,TA,CBlock,115000
142,20,RL,78.0,11645,Reg,CollgCr,Lvl,Inside,Norm,1Fam,1Story,7,5,2005,2005,VinylSd,VinylSd,,0.0,Gd,TA,PConc,260000
143,50,RL,71.0,8520,Reg,NAmes,Lvl,Corner,Artery,1Fam,1.5Fin,5,4,1952,1952,BrkFace,Wd Sdng,,0.0,TA,Fa,CBlock,166000
144,20,RL,78.0,10335,IR1,CollgCr,Lvl,Inside,Norm,1Fam,1Story,7,5,1999,1999,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,204000
145,90,RM,70.0,9100,Reg,Sawyer,Lvl,Inside,RRAe,Duplex,1Story,5,5,1963,1963,HdBoard,HdBoard,BrkFace,336.0,TA,TA,CBlock,125000
146,160,RM,24.0,2522,Reg,Edwards,Lvl,Inside,Norm,Twnhs,2Story,6,5,2004,2006,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,130000
147,30,RM,51.0,6120,Reg,BrkSide,Lvl,Corner,Norm,1Fam,1Story,5,7,1931,1993,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,105000
148,60,RL,,9505,IR1,Gilbert,Lvl,CulDSac,Norm,1Fam,2Story,7,5,2001,2001,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,222500
149,20,RL,63.0,7500,Reg,SawyerW,Lvl,Inside,Norm,1Fam,1Story,7,5,2004,2005,VinylSd,VinylSd,BrkFace,120.0,TA,TA,PConc,141000
150,50,RM,,6240,Reg,BrkSide,Lvl,Inside,Norm,1Fam,1.5Fin,5,4,1936,1950,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,115000
151,20,RL,120.0,10356,Reg,CollgCr,Lvl,Corner,Norm,1Fam,1Story,5,6,1975,1975,HdBoard,HdBoard,,0.0,TA,TA,CBlock,122000
152,20,RL,107.0,13891,Reg,NridgHt,Lvl,Inside,Norm,1Fam,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,436.0,Gd,TA,PConc,372402
153,60,RL,,14803,IR1,NWAmes,Lvl,CulDSac,Norm,1Fam,2Story,6,5,1971,1971,HdBoard,HdBoard,BrkFace,252.0,TA,TA,CBlock,190000
